Contact Person,Designation,Organization,LinkedIn Profile
 Shivani Somani,CEO,Lyke Exports,https://in.linkedin.com/in/shivani-somani-5139b4175
 Sandeep Thata,Sandeep Thata,Lync (Organikness Pvt Ltd),https://in.linkedin.com/in/sandeep-thata-00915a172
 KARTIK Gaggar,Kartik Gaggar,M/s Slo Mo Experiences Private Limited,https://in.linkedin.com/in/kartik-garg-499605b7
 Isha Gupta,Isha Gupta,MaaMitahara Private Limited,https://in.linkedin.com/in/isha-gupta-aba4bb22b
 Smaranika Mohapatra,Managing Director,Maavni Services Pvt Ltd,https://in.linkedin.com/in/smaranika-mohapatra-aba94b79
 Rubita Magar,Co-founder / CBDO,Mach Twenty Four Orbitals Pvt. Ltd.,https://np.linkedin.com/in/rubitamagar
 Mrunmai Joshi,Co Founder,Machajo Private Limited (Taali Toys),https://in.linkedin.com/in/mrunmai-joshi-8b539a315
 Divya Siddharth Munot,Director,Machau Bamboo Products Private Limited,https://in.linkedin.com/in/siddharthmunot
 AAFRIN SHAIKH,FOUNDER & DIRECTOR,MACHINERY POINT PRIVATE LIMITED,https://in.linkedin.com/in/aafrin-shaikh-machinery-point-owner-founder
 Ambadi Kannan M.S,Director,Machli Tech P Ltd,https://in.linkedin.com/in/ambadi-kannan-m-s-449428136
 Pradeep Rout,Founder,Machphy Solutions,https://in.linkedin.com/in/pradeep-rout-53ab065b
 Neha jain DIRECTOR,DIRECTOR,MACHSCAPE INNOVATIONS PRIVATE LIMITED,https://in.linkedin.com/in/neha-jain-985086170
 Prakhar Agarwal,Co-Founder & Director,Macrogardens Pvt Ltd,https://in.linkedin.com/in/prakharagarwal07
 Aditya Kukar,CoFounder,Magik Touch Concepts Pvt Ltd,https://in.linkedin.com/in/adityakumar7231
 Swati Maini,Director,Maini Renewables Pvt Ltd,https://in.linkedin.com/in/mainiswati
 Pritesh Vanzara,Sr. Business Development Executive,MakerInMe Technologies Private Limited,https://in.linkedin.com/in/pritesh-vanzara-5a2690338
 Rajmohan Nagendran,Rajmohan Nagendran,Mamakart Toys,https://in.linkedin.com/in/rajmohan-nagendran-81618b50
 Priyanka Patel,Assistant Manager,Manupatra,https://in.linkedin.com/in/priyanka-patel-6391b3180
 Alpna Gupta,Director,Mapic Foods Private Limited (Startup Punjab),https://in.linkedin.com/in/alpna-gupta-a89424209
 Arshdeep Singh Bedi,Aircraft Design and Analysis Engineer,Maraal Aerospace Pvt. Ltd.,https://in.linkedin.com/in/arshdeep-aeronautical
 SUNG YEOP HA,CEO,MarinaChain,https://sg.linkedin.com/in/sung-yeop-ha-969a19225/ko
 Akhlaq Aghwani,CEO,Mariner Aquaculture Private Limited,https://in.linkedin.com/in/akhlaq-aghwani-19635430
 TARUN SINGHAL,CEO,MARINGLE PRIVATE LIMITED,https://in.linkedin.com/in/singhaltarun2280
 Kunal Uniyal,Kunal Narayan Uniyal,Maritech Integrated Maritime Private Limited,https://in.linkedin.com/in/kunal-narayan-uniyal-a964a8116
 Dhruv Srivastava,CEO and Director,Marketrics Technologies Pvt Ltd,https://in.linkedin.com/in/dhruv-srivastava-31076a114
 Pradipta Vaskar Mukherjee,CEO,Maverick Drones And Technologies Pvt Ltd,https://in.linkedin.com/in/pradipta-vaskar-mukherjee-a77a90117
 Aibanylla Dohling,IVCS Member,"Mawrah Rangtmah IVCS, Laitkroh block",Not found
 Mandar Patil,Mandar Patil,Mayban Mobility Solutions Pvt. Ltd.,https://in.linkedin.com/in/mandarpatil23
 Ravi Piplani,Ravi Piplani,Mayvionai Intelligence Private Limited,https://in.linkedin.com/in/ravipiplani
 Maharsh Shah,Maharsh Shah,MealPe Online Food Ordering POS Private Limited,https://in.linkedin.com/in/maharshshah
 Gokul Karat,CEO,Mechinex Automation Pvt. Ltd.,Not found
 SAKSHAM MISHRA,CEO,MECHPHY AWE ROBOTICS (OPC) PVT LTD,https://in.linkedin.com/in/saksham-m-3395041a6
 Priyaranjan Tiwari,CEO,Medantrik Medtech Pvt ltd,https://in.linkedin.com/in/priyaranjan-tiwari
 CHETHAN RAJU,DIRECTOR,MEDASUS HEALTHCARE PVT LTD,https://in.linkedin.com/in/dr-chethan-raju-951a42168
 Jitesh Pandey,Jitesh Pandey,Medblue Innovations Pvt Ltd,https://in.linkedin.com/in/jitesh-pandey
 Malleshwari Director,Director,Medevice Innovations Pvt Ltd,Not found
 Inder Kumar Gupta,Inder Kumar Gupta,Medic Tech Private Limited,Not found
 Kalpesh Tarsariya,Founder & CEO,Medionce Solutions Pvt Ltd (Healcard),https://in.linkedin.com/in/kalpesh-tarsariya-54b93b104
 Shakila Kulasekaran,Director,Medline Robotics Private Limited,https://in.linkedin.com/in/shakila-kulasekaran-70317644
 Vamshi Krishna Mannuri,Founder,Medscore ( PCRA Technologies Pvt Ltd ),https://in.linkedin.com/in/mannuri-vamshi-krishna
 Sandeep Chaudhary,CEO,Medtime Healthcare Pvt Ltd,https://www.linkedin.com/in/sandeep-chaudhry-8212002
 Evanshika Sirohi,Founder's Office,Medulance,https://in.linkedin.com/in/evanshika-sirohi
 Ritvik Vipra,Co-Founder,MEDVOLT TECH PRIVATE LIMITED,https://in.linkedin.com/in/ritvikvipra
 VISHESH KASLIWAL,FOUNCER/ CEO,MEDYSEVA TECHNOLOGIES PVT LTD,https://in.linkedin.com/in/dr-vishesh-kasliwal
 Sonali Tatke,Co-Founder,Meerkats.World,https://in.linkedin.com/in/sonali-tatke
 D Kundana Sai,Founder,MEFU-X,https://in.linkedin.com/in/kundana-sai-92307332b
 Shubhra Hanjabam,Founding Director,Meira Foods,https://in.linkedin.com/in/shubhra-devi-b36589174
 Sarang Deshpande,Founder,Meiro Mobility Private Limited,https://in.linkedin.com/in/anil-deshpande-48184aa8
 Sahil Upadhyay,C.E.O,Mellow Fox Studios,https://in.linkedin.com/in/sahil-upadhyay-597718276
 Naveen Surya,Naveen Kumar Surya,Memandis,https://in.linkedin.com/in/naveen-surya-14767b7
 UMANG RASTOGI,CEO and FOUNDER,MENTIMEET SOLUTIONS PRIVATE LIMITED,https://in.linkedin.com/in/umangrastogi1096
 Pallavi Shrivastava,Director,Merakii BrandPro Pvt Ltd,https://in.linkedin.com/in/pallavi-shrivastava-b07786232
 Chitra Bhagat,Founder,Merch Story,https://www.linkedin.com/in/chitra-bhagat-b9b6283
 Hrishikesh Vedantam,Co-Founder,Meridian Data Labs Private Limited,https://ca.linkedin.com/in/hrishikesh-vedantam
 Roopansh Sharma,Merosa Technologies Private Limited,Merosa Technologies Private Limited,https://in.linkedin.com/in/roopanshsharma
 Prapun Illapani,Founder & CEO,Metaintrospec Innovators Pvt Ltd,https://in.linkedin.com/in/prapunkumar
 Amit Siddhartha,Founder and CEO,Metapercept Technology Services LLP,https://in.linkedin.com/in/amit-siddhartha-28a7b38
 Amit Verma,CEO,METASAGA Private Limited,https://in.linkedin.com/in/i-amitverma
 Mehreen Sheikh,Managing Director,METASPACE TECHNOLOGIES PRIVATE LIMITED,https://in.linkedin.com/in/mehreen-sheikh-md
 Chandravadan Raut,Director,MetaStation,https://in.linkedin.com/in/chandravadanr
 Anup Tarafdar,CEO,Metaverse Expo Private Limited,https://in.linkedin.com/in/anuptarafdar
 Sriram Rajagopalan,Managing Director,Mettlesemi Systems & Technologies Pvt Ltd,https://in.linkedin.com/in/sriram-rajagopalan-48528410
 Neeraj Bagi,Founder and CEO,Meukron Technologies Pvt Ltd,https://in.linkedin.com/in/neeraj-bagi
 Karthickumar P,Associate Software Engineer,Meyi Cloud Solutions Private Limited,https://in.linkedin.com/in/karthic-kumar-0116bb220
 Mayank Goel,Founder,Mfarm Ventures Private Limited,https://in.linkedin.com/in/mayankgoel88
 RSVN Sharma,FOUNDER & CEO,MHITR,https://in.linkedin.com/in/renduchintala
 Nandakumar Kamesh,Sales Manager,Mibot Ventures India Private Limited,https://in.linkedin.com/in/nandakumar-kamesh-192a802b3
 Shashank Mishra,Shashank Mishra,MicroHeal,https://in.linkedin.com/in/shashank-mishra43
 Nitish K R,Founder & CEO,Microleer Biopolymers LLP,https://in.linkedin.com/in/nitish-kr-868690162
 Abdul Arif,Director,Microwatt Energy Systems Private Limited,https://in.linkedin.com/in/abdul-arif-341355189
 Deepak Baghel,Deepak Baghel,MIELO FOOD PRODUCTS PRIVATE LIMITED,https://in.linkedin.com/in/deepak-baghel-56162734
 Mannu Jee,Founder,Milkvilla Private Limited,https://in.linkedin.com/in/mannu-jee-b84907b6
 MINI K,Director,Milletology,https://in.linkedin.com/in/minisreenivasan
 David Bennett,CEO,Mimic Productions,Not found
 Imran Noorani,Founder,MIND MEADOW,https://in.linkedin.com/in/imran-noorani-4653402bb
 RAKESH DANDU,DIRECTOR,Mindcraft Edtech OPC Pvt. Ltd.,https://in.linkedin.com/in/rakesh-dandu
 Shubham Jalewa,CEO,Mindlink Platform Private Limited,https://in.linkedin.com/in/shubham-jalewa-1a026414a
 Ehsaas Gakhar,Entrepreneur In Residence,MindPeers India,https://sg.linkedin.com/in/ehsaas-gakhar-78b65419a
 Sukriti Dhingra,Founder and CEO,Mindpsy Psychological Services Pvt Ltd,https://in.linkedin.com/in/sukriti-dhingra-clinicalpsychologist
 Indranil Nath,CEO & CoFounder,Mindtrot Technologies Private Limited,https://in.linkedin.com/in/indranilnath
 Rahul Kumar,Founder,Minus Degre Manufacturers Pvt. Ltd,https://in.linkedin.com/in/rahul-vashukhi-186208186
 Maithreye Murali,Founder,Miracle Me,https://in.linkedin.com/in/maithreyemurali
 RIHAS MUHAMMED R,FOUNDER,MIRACLE SPICES,https://in.linkedin.com/in/rihas-muhammed-r-23bb551a7
 DEVANSH SHARMA,MANAGING DIRECTOR,Mirana Innovations Pvt Ltd,https://in.linkedin.com/in/devansh-sharma-84b5293a
 Sabir Hossain,Cofounder,Miraqules MedSolutions Pvt Ltd,https://in.linkedin.com/in/sabir-hossain-b7b2947b
 RICKEY DALBEHERA,MANAGING DIRECTOR,MIRO LABS PRIVATE LIMITED,https://in.linkedin.com/in/rickey-dalbehera
 PANKAJ THAPA,PANKAJ THAPA,Mirror Security,https://in.linkedin.com/in/pankaj33
 DEEPAK KUMAR,Deepak Kumar,MISTAA GREEN,https://in.linkedin.com/in/deepak-kumar-454a70258
 Ashwin V. Jain,Chief Technological Officer (CTO),Mitt Arv Technologies Pvt. Ltd.,https://in.linkedin.com/in/ashwin-v-jain
 Jigar Mehta,Director,MND Technologies Private Limited (MyNextDeveloper),https://de.linkedin.com/in/jigar1101
 Dinesh Advani,Director & Founder,MOBILIZAR TECHNOLOGIES PRIVATE LIMITED,https://in.linkedin.com/in/dinesh-advani
 RAJESH KUMAR PAL,FOUNDER,MOBISEC TECHNOLOGIES PRIVATE LIMITED,https://in.linkedin.com/in/rajeshkumarpal
 Sudipta Saha,Co-Founder & CEO,MOBZWAY TECHNOLOGIES LLP,https://in.linkedin.com/in/sudiptasaha
 SIVAPRASAD P V,Founder&CEO,MODERN CONCEPTS AND SOLUTIONS LLP,https://in.linkedin.com/in/sivaprasad-p-s-31094913
 JAI CHAUHAN,FOUNDER,MODERNAYURVEDA PRIVATE LIMITED,https://in.linkedin.com/in/jai-chauhan-42441317
 Ravi Agrawal,Co Founder,MODOBENECURA PRIVATE LIMITED,https://in.linkedin.com/in/ravi-agrawal-9b608b113
 Manish Paul,CEO,Moe puppy,https://in.linkedin.com/in/manish-paul-51458716
 Simarpreet Singh,Simarpreet Singh,Mohi Lifestile Solutions Private Limited,https://in.linkedin.com/in/simarpreet-singh-238596205
 Anupama Chapagai Chettri,Co founder,Mokawaii,https://in.linkedin.com/in/anupama-chapagai-chettri-763a12200
 Kumar Vaibhav,Ceo and Founder,Momshome Pvt Ltd,https://in.linkedin.com/in/vaibhav-kumar-b2197718
 Nehal Babariya,Director,monak e-services Private Limited,https://in.linkedin.com/in/nehal-babariya-9b61a232b
 Devaraj Gowdanar,CEO,Moneyverse Pte Ltd,https://sg.linkedin.com/in/devaraj-gowdanar-a03691aa
 MONIKA KUMARI,FOUNDER,Monika Kumari,https://in.linkedin.com/in/monika-kumari-97aa33184
 JOUNG HUN YOUM,CEO,Monnit Korea,Not found
 Abhinav Nayar,CEO,mool.ai,https://in.linkedin.com/in/anayar
 Milan Bhatnagar,Head - Technology Development Office,Morphedo Technologies Private Limited,https://in.linkedin.com/in/milan-bhatnagar-2a392b171
 Dharmik Sai,Dharmik Sai,Morphing Machines Private Limited,https://in.linkedin.com/in/dharmikmikkilineni
 MD GULFARAZ,Director,MOSO INTERNAL PRIVATE LIMITED,https://in.linkedin.com/in/md-gulfaraz-0a0bb52a8
 Tarun Budhrani,CEO,Motionmatics Private Limited,https://in.linkedin.com/in/tarunbudhrani
 Abhinav Verma,Director,Motozite,https://in.linkedin.com/in/abhinav-verma-0324a2157
 Jai Bharathi A,Founder & CEO,Mowo Fleet ( brand under JSS Mobility Innovations Pvt Ltd,https://in.linkedin.com/in/jaibharathi
 Divya Raju,Project Assistant,MSLV4 Endurance Private Limited,https://in.linkedin.com/in/divya-raju-20b952119
 Aditi Garg,CEO,MTS Travel Tech Private Limited,https://in.linkedin.com/in/aditi-garg-7a8ba5301
 Abhay Gupta,Founder and CEO,Muditam Ayurveda Private Limited,https://in.linkedin.com/in/abhay-gupta-muditam
 MEHULKUMAR PANCHOLI,CO-FOUNDER,Multifly Lifestyle Private Limited,https://in.linkedin.com/in/mehulkumarpancholi
 Shambhavi Jaiswal,Founder/Director,Mulyo Clothing Pvt Ltd,https://in.linkedin.com/in/shambhavi-jaiswal-99b960177
 Pullagura Sreenivasulu,Founder & MD,MUSAFIBRAL,https://in.linkedin.com/in/sreenivasulu-pullagura-842a1ba1
 PRAVEEN CHIRANIA,DESIGNATED PARTNER/ CEO/ FOUNDER,MUSCLE AND STRENGTH INDIA LLP,https://in.linkedin.com/in/praveen-chirania-a1565b20
 Binayak Dewan,Unit Head,MUSHROOMAG PRIVATE LIMITED,https://in.linkedin.com/in/binayak-dewan
 Himanshu Dua,Founder,My Pahadi Dukan,https://in.linkedin.com/in/himanshu-dua-83b09496
 Ajay Kumar,"Founder, CEO",MYeKIGAI Profound Private Limited,https://in.linkedin.com/in/ajay-kr-birla
 Anirudh Sharma,CEO & Co -Founder,MyEra Technologies Private Limited,https://in.linkedin.com/in/anirudh-sharma-digantara
 Siddharth Gupta,Founder & CEO,Myna Hemp Store Private Limited,https://in.linkedin.com/in/siddharth-gupta-2ab419171
 Sooraj M Serawat,Founder and Director,Myotech V -HAB LLP,https://in.linkedin.com/in/soorajm
 Nidhi Mehra,Nidhi Mehra,Myplan8 - KRNY Innovations Private Limited,https://in.linkedin.com/in/nidhi-sagar-mehra
 Yedhu Krishnan Babu,Senior Full Stack Develoepr,NA,https://in.linkedin.com/in/yedhukrishnan
 Kajal Shrivastava,Kajal Shrivastava,NadiPulse Prognostics Pvt Ltd,Not found
 Rishabh Nag,Founder,Nag & Nag Consultants Pvt Ltd(Humanli AI),https://www.linkedin.com/in/rishabhnag
 Saurabh Sharma,Founder,Namus Beverages private limited,https://in.linkedin.com/in/saurabh-sharma19832
 Rajnikant Sinha,Events Sales and Marketing Head,Nandi Panchgavya,https://in.linkedin.com/in/rajnikant-sinha-650377a4
 Umadevi S,Co Founder and COO,NANOQUEST,https://in.linkedin.com/in/umadevi-s-74a4a432
 Naman Barot,Founder,Nanospin Technologies LLP,https://in.linkedin.com/in/naman-barot-41984696
 Naresh Parlapalli,Managing Director,Naresh Parlapalli,https://in.linkedin.com/in/parlapalli-naresh-796324290
 Bhavik Kothari,CEO,Narqubis games Private Limited,https://in.linkedin.com/in/bhavik-kothari-692662b
 Ripul Sharma,Director / Co -founder,Natureovedic Consumers Private Limited,https://in.linkedin.com/in/ripul-sharma-59670a285
 Sateesh Kemburu,Sateesh Kumar Kemburu,Natures Box Pvt ltd,https://in.linkedin.com/in/sateesh-kumar-kemburu-8904774b
 NITIN SHROTRI,NITIN VIVEK SHROTRI,NatureTech SimpleInventions Private Limited,https://in.linkedin.com/in/nitin-shrotri-cpm-pmp-1b77617
 Nagachethan S M,CEO,Navanc Data Sciences Pvt Ltd,https://in.linkedin.com/in/nagachethan-s-m-ab8bb26b
 Sisir Chandra Jonna,CEO & Co -founder,Navariti Innovation Private Limited,https://in.linkedin.com/in/sisirj
 Vivek Narain,Founder,Navirego,https://in.linkedin.com/in/viveknarain1
 Abhishek Sahgal,Abhishek Sahgal,Navork Innovations Private Limited,https://in.linkedin.com/in/abhishek-sahgal-20a01b147
 Pravin Awatade,CEO,NavyBlue Resources Integration & Solutions Pvt Ltd,https://in.linkedin.com/in/pravin-awatade-007618312
 Abhilash Maurya,Abhilash Maurya,Naxatra Labs Private Limited,https://in.linkedin.com/in/abhilashmaurya
 Naman Bishnoi,Founder & CEO,NCRYPTO LABS PRIVATE LIMITED,https://in.linkedin.com/in/lucidex
 Neha A Bansal,Neha A Bansal,Neba Consumer Pvt. Ltd.,https://in.linkedin.com/in/nehabhibansal
 Pravash Dey,Director,Nebulex Def -Tech Foundation,https://uk.linkedin.com/in/pravash-dey-1b253420
 Anshuman Goswami,Founder & CEO,NECRAFTERS ENTERPRISE LLP,https://in.linkedin.com/in/anshumangoswami02
 Yagyesh .,Director,NEECOP Consultants Private Limited,https://in.linkedin.com/in/yagyesh-6150771a0
 Mohit Gulati,CTO,Neeno Edutech,https://in.linkedin.com/in/mohitgulati7127
 Anant Kapur,Managing Director,Neer Shakti Systems Private Limited,https://in.linkedin.com/in/anant-kapur
 Akhil Raj Pottekkat,673601,NEIOX ECO CYCLE PRIVATE LIMITED,Not found
 Anupam Banerjee,Director,Neo Risers Pvt. Ltd.,https://in.linkedin.com/in/anupambanerjee07
 Bharani Dheeraj,Bharani Dheeraj,Nerds and Geeks Pvt Ltd,https://in.linkedin.com/in/meghanajyothinagaram
 FEROZ MOHAN MALIK,CEO,Net Zero Beverages Pvt Ltd,https://in.linkedin.com/in/ferozmohanmalik241
 Aditya Reddy,Aditya Reddy,Netplay Sports Private Limited,Not found
 Kumar Doshi,CEO,Netpret Solutions Pvt Ltd,https://in.linkedin.com/in/kumar-doshi-7a4267280
 Shamil Khan,Co-Founder & Chief Business Officer,Neur Industries Private Limited,https://in.linkedin.com/in/shamil-khan-44a82018a
 Anand Ravi,Anand Ravi,NEURAPIE,https://in.linkedin.com/in/anandravi22
 Aviral Dwivedi,CTO,NeuraSim Pvt Ltd,https://in.linkedin.com/in/aviral-dwivedi-3972b9327
 Aarti Thukral,Partner,Neuriot Technologies LLP,https://in.linkedin.com/in/aarti-goel-154299135
 Garvit Kothari,CEO/CO-Founder,Neurobridge Tech Private Limited,https://in.linkedin.com/in/garvit-k
 Arvind Nair,CEO,NeuroPixel,Not found
 Abhimanyu Detha,Company partner in India,Neurosputnik LLC,https://in.linkedin.com/in/abhimanyu-detha-13170129
 Arnab Bhattacharya,Vice President Impact Division,Neurosynaptic Communications Private Limited,https://in.linkedin.com/in/arnabbhattacharya
 Naresh Kumar,Founder,Nevar Systems Private Limited,https://in.linkedin.com/in/naresh-kumar-aa8746113
 Krishna Sharma,director,NEW GEN FOOD TECH PVT LTD,https://in.linkedin.com/in/krishna-sharmaa
 Ashwin Shastry,AVP- Alliances & Partnerships,NewSpace Research & Technologies,https://in.linkedin.com/in/ashwin-shastry
 Ram Sharma,Director & Chairman,Newzera Tech Labs Pvt Ltd,https://in.linkedin.com/in/ramsharma13
 Musharraf Abdullah,Director,Nexcope Private Limited,https://in.linkedin.com/in/mohammed-abdullah-musharraf-411b23220
 SURAJ VITTAL RAO MEIYUR,SURAJ VITTAL RAO MEIYUR,Next Skills 360 EdTech Private Limited,Not found
 Prerna Farmaha,Digital marketing Executive,Next XR India,https://in.linkedin.com/in/prerna-farmaha-83734b211
 Khushvant Chahar,Director,NextDoor Dukan,https://in.linkedin.com/in/khushvant-chahar
 Alvin Anthony,CEO,NEXTLEAP AERONAUTICS PRIVATE LIMITED,https://in.linkedin.com/in/alvin-anthony-65b2211b
 Athul Abraham,Senior Manager,Nextmeta Labs Private Limited,https://in.linkedin.com/in/athul-abraham
 Kirat Singh,Founder and Director,Nextup Robotics Private limited,https://in.linkedin.com/in/dr-kirat-singh-3b0585229
 Gourangon Gogoi,Director and CMO,NGN Treemate Private Limited,https://in.linkedin.com/in/treemate-app-444952329
 Peihauding Peihauding,Co- Founder and CEO,Ngurie Organic Private Limited,https://in.linkedin.com/in/peihauding-70704415b
 Aeroshil Nameirakpam,Co-Founder/CEO,Nibiaa Devices Pvt.Ltd.,https://in.linkedin.com/in/aeroshiln
 Yash Mittal,Founder,Nicola Tech,https://in.linkedin.com/in/yashmittal994
 Nidhi Nidhi,Nidhi Nidhi,NIDHI,https://www.linkedin.com/in/nidhi-nidhi-20072524
 Niharika Talwar,CEO,Niharika Talwar Enterprises LLP,https://in.linkedin.com/in/niharika-talwar-21317b127
 Arjun Pawar,CEO,Nikol Automotive Pvt Ltd,https://in.linkedin.com/in/parjun7
 Manav Kothari,CEO,NioPractice,https://in.linkedin.com/in/manav-kothari-8a774137
 KETAN THAKKAR,MANAGING DIRECTOR,NIPPONPLY INDUSTRIES PVT LTD,https://in.linkedin.com/in/ketan-thakkar-93b03b34
 Vicky Nanda,Chief Operating Officer,Niramai Health Analytix,https://in.linkedin.com/in/vickynanda
 Geetha Manjunath,CEO and MD,NIRAMAI Health Analytix Private Limited,Not found
 Prashant Gore,Founder & CEO,Nirbhi Techno LLP,https://in.linkedin.com/in/prashantgore
 NILIMA ROY CHOWDHURY,Founder,NIRVANA NILIMA WELLNESS,https://in.linkedin.com/in/nirvananilima
 Nisha Niranjan,Nisha Niranjan,Nisha niranjan,https://in.linkedin.com/in/nisha-niranjan-76ba941b8
 Vishesh Kingrani,Vishesh Kingrani,NIT Raipur Foundation For Innovation & Entrepreneurship,https://in.linkedin.com/in/vishesh-kingrani-519a6b310
 Yogesh Gawande,Founder & CEO,NIYO FARMTECH PRIVATE LIMITED,https://in.linkedin.com/in/yogesh-gawande-373a6b28
 Karishma Bande,Marketing Manager,Noccarc Robotics Private Limited,https://in.linkedin.com/in/karishma-bande-a81177167
 Adabre Frank,CEO,NorthLite Solar Ltd,https://gh.linkedin.com/in/adabre-frank-335b4437
 Nishitchandra Shah,Co-founder,notops software private limied,Not found
 Shashwat Raj,Director,NovosEdge Private Limited,https://in.linkedin.com/in/shashwat-raj-4b7a5016a
 Priya Pathak,Event Manager,Nspire Automation Pvt. Ltd.,https://in.linkedin.com/in/priya-pathak-98b890187
 Kalpna Varshney,Founder &CEO,nutbeez,https://in.linkedin.com/in/kalpnavarshney
 Vishwajeet Kumar,CEO,NUTRI TRIBE (ORIGINS TRIBES PVT. LTD.),https://in.linkedin.com/in/mrvishwajeetkumar/hi
 Sona Mishra,Managing Director,NutriLeafz Innovations Pvt Ltd,https://in.linkedin.com/in/sona-mishra-24b403214
 Smriti Chaudhry,Founder & CEO,NUVO,https://in.linkedin.com/in/smriti-chaudhry-45710b1b8
 Mandira Chettri,Founder,O2 Himalaya Pvt. Ltd.,https://in.linkedin.com/in/mandira-chettri-2ab15a1b1
 Ashish Ranjan,Ashish Ranjan,OCB CAKES PRIVATE LIMITED,https://in.linkedin.com/in/ashish-ranjan-664429171
 Saloni Godbole Tewari,"Ceo, founder",Occamy Bioscience Private Limited,https://in.linkedin.com/in/saloni-godbole
 Gaurav Raghav,Gaurav Raghav,OCEANLUX CCU TECHNOLOGIES PRIVATE LIMITED,https://in.linkedin.com/in/raghavgaurav
 Siddhesh Gosavi,CEO and CO Founder,Octarange Technologies Pvt Ltd,https://in.linkedin.com/in/siddhesh-gosavi-8368b880
 Nitin Namdeo,CEO,OCTOMEN TECHNOLOGY PRIVATE LIMITED,https://in.linkedin.com/in/nitinknamdeo
 Himanshu Harsh,Director,Octopyder Services Private Limited,https://in.linkedin.com/in/himanshu-harsh
 Devendra Yadav,Founder,OEX Tech Solutions Pvt Ltd,https://in.linkedin.com/in/devendr-yadav
 Rajeev Singh,Rajeev Singh,Ojay tech Private Limited,https://in.linkedin.com/in/singh-rajeev
 Sarika Sawhney,Partner,Olitia Cares LLP,https://in.linkedin.com/in/dr-sarika-sawhney-85886917
 Robin Thomas,CEO,Oliveiot Innovations Pvt Ltd,https://in.linkedin.com/in/robinoliveiot
 Sahil Gulati,Ashirwad Complex,OM GAYATRI TRANSTECH PVT LTD,https://in.linkedin.com/in/sahil-gulati-a42597126
 Karl Frederick IV Kesner,CEO,OMG! CRAZY -FAST,https://ph.linkedin.com/in/karl-kesner-b31637201
 Beena PS,Beena PS,OMICSGEN LIFESCIENCES PVT LTD,https://in.linkedin.com/in/beena-ps-213942a
 Parth Joshi,Scientist,OmniBRx Biotechnologies Pvt. Ltd.,https://in.linkedin.com/in/drparthjoshi
 Piyush Beli,Director,Omnistack innovation Private Limited,https://in.linkedin.com/in/piyushbeli
 Rakesh Kumar,DIRECTOR,Omrook Industries Pvt Ltd,https://in.linkedin.com/in/sssm41
 RAVINDRA RAJ BM,Managing Director,Omspace Rocket and Exploration Pvt Ltd,https://in.linkedin.com/in/ravindrarajbm
 Nitin Shukla,Founder,OMTV,https://in.linkedin.com/in/nitin-jai-shukla-78605bb
 Prerna Harchandani,Manager- Partnership & Alliance,One Stack Solution Private Limited,https://in.linkedin.com/in/prerna-harchandani-2959a2175
 Sumit Goswami,Sumit Goswami,OneArvo Ventures Private Limited,https://in.linkedin.com/in/sumit20
 Karthik Kumar,Karthik,OneClickSupport Pvt Ltd,https://in.linkedin.com/in/karthik-kumar-ab581a1b5
 Deepesh Rajpal,Deepesh Rajpal,OneDose.AI,https://in.linkedin.com/in/deepeshrajpal
 Ankush Tiwari,Director,Oniber Software Private Limited,https://in.linkedin.com/in/ankushtiwari
 Akhilesh Rajput,COO,Onnway Solutions Private Limited,https://in.linkedin.com/in/akhilesh-rajput-823438a9
 Ayushi Rungta,CEO,OpenOffers,https://in.linkedin.com/in/ayushi-rungta-openoffers
 Pulak Rijhwani,Founder & CEO,Opsight AI Private Limited,https://in.linkedin.com/in/pulak-rijhwani-65180a56
 Anton Isac Kunnel,Anton Isac Kunnel,ORBISLIVES VIRTUALCLINIC,https://om.linkedin.com/in/anton-isac-kunnel-b697404b
 Raunak Kumar,City Business Head,Orchard Healthcare Pvt Ltd,https://in.linkedin.com/in/kumar-raunak-35395886
 Shubhang Agrawal,Director,Organi Gully Hal Private Limited,https://in.linkedin.com/in/shubhang-agrawal-14b3801a5
 Kshitiz Srivastava,Co-founder and CEO,Organicsirji Private Limited,https://in.linkedin.com/in/kshitiz-srivastava-860569138
 Anthony Brand,Anthony Brand,"Organisation of African, Caribbean and Pacific States (OACPS)",Not found
 Vishwajeet Kumar,CEO,ORIGINS TRIBES PVT. LTD.,https://in.linkedin.com/in/mrvishwajeetkumar/hi
 Rima Pandey,Rima Pandey,Orish J Bioworks Pvt Ltd,https://in.linkedin.com/in/rima-pandey-7b7a3458
 NIDHI GOVIL,Founder,orive organics OPC pvt ltd,https://in.linkedin.com/in/nidhi-govil-006b956
 Muthumanigandan Duraibabu,Muthumanigandan,Orzu Tech LLP,https://in.linkedin.com/in/muthu-manigandan-9936ab14
 Natrajan Jaiswal,Natrajan Jaiswal,OSHI B2B INDIA PRIVATE LIMITED,https://in.linkedin.com/in/ruchi-jaiswal-a8b039182
 Anant Singh,Director,OsteoQure Healthcare,https://in.linkedin.com/in/physioanant
 Karma Thutop,Director/Co -Founder,OurGuest,https://uk.linkedin.com/in/robert-guest-24b17713
 Adwaith Gupta,Cheif Executive Officer,Paanduv Applications Private Limited,https://in.linkedin.com/in/adwaith-gupta
 Alok Kumar,Director,Paavni Organic Farms,https://in.linkedin.com/in/alok-kumar-68a59714
